ID	GENE PRODUCT ID	GO EVIDENCE CODE	REFERENCE	TAXON ID
GO:0141201	https://identifiers.org/uniprot:O70131	IDA	PMID:37198476	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0070269	https://identifiers.org/uniprot:O70133	IMP	PMID:28636595	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0150076	https://identifiers.org/uniprot:O88444	IMP	PMID:12441059	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0070269	https://identifiers.org/uniprot:O89110	IDA	PMID:30361383	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0070269	https://identifiers.org/uniprot:O89110	IMP	PMID:31748744	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0002353	https://identifiers.org/uniprot:P00748	IDA	PMID:18725990	http://purl.obolibrary.org/obo/NCBITaxon_9606
GO:0002353	https://identifiers.org/uniprot:P00748	IDA	PMID:6793628	http://purl.obolibrary.org/obo/NCBITaxon_9606
GO:0002542	https://identifiers.org/uniprot:P00748	IDA	PMID:18725990	http://purl.obolibrary.org/obo/NCBITaxon_9606
GO:0006953	https://identifiers.org/uniprot:P01308	IDA	PMID:14739855	http://purl.obolibrary.org/obo/NCBITaxon_9606
GO:0002439	https://identifiers.org/uniprot:P01375	IMP	PMID:14512626	http://purl.obolibrary.org/obo/NCBITaxon_9606
GO:0006954	https://identifiers.org/uniprot:P01375	IDA	PMID:10748004	http://purl.obolibrary.org/obo/NCBITaxon_9606
GO:0006954	https://identifiers.org/uniprot:P01375	IDA	PMID:21147091	http://purl.obolibrary.org/obo/NCBITaxon_9606
GO:0006954	https://identifiers.org/uniprot:P01375	IDA	PMID:22267480	http://purl.obolibrary.org/obo/NCBITaxon_9606
GO:0090594	https://identifiers.org/uniprot:P01375	IDA	PMID:27830702	http://purl.obolibrary.org/obo/NCBITaxon_9606
GO:0001774	https://identifiers.org/uniprot:P01579	IGI	PMID:19808651	http://purl.obolibrary.org/obo/NCBITaxon_9606
GO:0001774	https://identifiers.org/uniprot:P01579	IGI	PMID:7715705	http://purl.obolibrary.org/obo/NCBITaxon_9606
GO:0048143	https://identifiers.org/uniprot:P01579	IDA	PMID:18375019	http://purl.obolibrary.org/obo/NCBITaxon_9606
GO:0001774	https://identifiers.org/uniprot:P01580	IGI	PMID:20368278	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0001774	https://identifiers.org/uniprot:P01580	IGI	PMID:26227742	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0001774	https://identifiers.org/uniprot:P01580	IGI	PMID:7715705	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0048143	https://identifiers.org/uniprot:P01580	IGI	PMID:20368278	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0006954	https://identifiers.org/uniprot:P01584	IDA	PMID:10748004	http://purl.obolibrary.org/obo/NCBITaxon_9606
GO:0001788	https://identifiers.org/uniprot:P01857	IDA	PMID:11711607	http://purl.obolibrary.org/obo/NCBITaxon_9606
GO:0002437	https://identifiers.org/uniprot:P01911	IDA	PMID:15795121	http://purl.obolibrary.org/obo/NCBITaxon_9606
GO:0006953	https://identifiers.org/uniprot:P02765	IDA	PMID:12153747	http://purl.obolibrary.org/obo/NCBITaxon_9606
GO:0001774	https://identifiers.org/uniprot:P05067	IGI	PMID:15457210	http://purl.obolibrary.org/obo/NCBITaxon_9606
GO:0001774	https://identifiers.org/uniprot:P05067	IGI	PMID:22406537	http://purl.obolibrary.org/obo/NCBITaxon_9606
GO:0002265	https://identifiers.org/uniprot:P05067	IGI	PMID:23152628	http://purl.obolibrary.org/obo/NCBITaxon_9606
GO:0048143	https://identifiers.org/uniprot:P05067	IGI	PMID:15457210	http://purl.obolibrary.org/obo/NCBITaxon_9606
GO:0048143	https://identifiers.org/uniprot:P05067	IGI	PMID:20445063	http://purl.obolibrary.org/obo/NCBITaxon_9606
GO:0002523	https://identifiers.org/uniprot:P05109	IDA	PMID:12626582	http://purl.obolibrary.org/obo/NCBITaxon_9606
GO:0006954	https://identifiers.org/uniprot:P05231	IDA	PMID:10443688	http://purl.obolibrary.org/obo/NCBITaxon_9606
GO:0090594	https://identifiers.org/uniprot:P05231	IDA	PMID:27830702	http://purl.obolibrary.org/obo/NCBITaxon_9606
GO:0006954	https://identifiers.org/uniprot:P05532	IMP	PMID:18454155	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0001774	https://identifiers.org/uniprot:P05555	IMP	PMID:18981141	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0150076	https://identifiers.org/uniprot:P06537	IMP	PMID:29890290	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0002523	https://identifiers.org/uniprot:P06702	IDA	PMID:12626582	http://purl.obolibrary.org/obo/NCBITaxon_9606
GO:0002269	https://identifiers.org/uniprot:P06802	IMP	PMID:29259245	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0002437	https://identifiers.org/uniprot:P06802	IMP	PMID:29259245	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0001774	https://identifiers.org/uniprot:P06804	IDA	PMID:22950459	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0090594	https://identifiers.org/uniprot:P06804	IDA	PMID:27830702	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0006954	https://identifiers.org/uniprot:P06850	IDA	PMID:18559919	http://purl.obolibrary.org/obo/NCBITaxon_9606
GO:0002544	https://identifiers.org/uniprot:P07996	IEP	PMID:18674744	http://purl.obolibrary.org/obo/NCBITaxon_9606
GO:0006954	https://identifiers.org/uniprot:P07996	IDA	PMID:23144964	http://purl.obolibrary.org/obo/NCBITaxon_9606
