clusterName,clusterSize,f_score,recall,PPV,TN,FP,FN,TP,marker_count,markers,onTarget
OPC_1,500,0.807799442896936,0.464,0.9914529914529915,72642,2,268,232,2,"['OLIG2', 'PDGFRA']",0.5864279270172119
Oligo_1,183,0.24613623354321695,0.46994535519125685,0.21994884910485935,72656,305,97,86,2,"['CERCAM', 'DOCK5']",0.2140817642211914
Oligo_2,500,0.8189655172413793,0.532,0.9466192170818505,72629,15,234,266,2,"['MBOAT1', 'PLP1']",0.6212890148162842
Oligo_3,346,0.713610586011342,0.43641618497109824,0.848314606741573,72771,27,195,151,2,"['OPALIN', 'LINC01170']",0.4224693179130554
Oligo_4,500,0.5434782608695652,0.4,0.5970149253731343,72509,135,300,200,3,"['OPALIN', 'TRIM59', 'CERCAM']",0.35120317339897156
Pax6_1,500,0.767426273458445,0.458,0.9233870967741935,72625,19,271,229,3,"['IGFBP7', 'EPS8', 'HCRTR2']",0.06253144145011902
Pax6_2,500,0.7676056338028169,0.436,0.9478260869565217,72632,12,282,218,3,"['TGFBR2', 'BCHE', 'RELN']",0.16779057681560516
Pax6_3,500,0.7090163934426228,0.346,0.9611111111111111,72637,7,327,173,3,"['PBX3', 'PDLIM5', 'FBN2']",0.07763121277093887
Pax6_4,500,0.8731422505307855,0.658,0.9508670520231214,72627,17,171,329,2,"['PALMD', 'RELN']",0.12252846360206604
Pvalb_1,500,0.6944444444444444,0.38,0.8755760368663594,72617,27,310,190,3,"['MYBPC1', 'GPR149', 'SVIL']",0.04585856571793556
Pvalb_2,500,0.7717391304347827,0.426,0.9681818181818181,72637,7,287,213,3,"['BCHE', 'SEMA3C', 'GPC5']",0.06709243357181549
Pvalb_3,500,0.635593220338983,0.36,0.7860262008733624,72595,49,320,180,4,"['TAFA4', 'SYT10', 'ANOS1', 'HTR4']",0.07263541221618652
Pvalb_4,500,0.4390934844192635,0.248,0.543859649122807,72540,104,376,124,4,"['MT-ND4L', 'RGS5_ENSG00000143248', 'WIF1', 'TAC1']",0.05211424082517624
Pvalb_5,500,0.6364329268292682,0.334,0.8226600985221675,72608,36,333,167,4,"['SNTB1', 'COBLL1', 'GPR149', 'TAC1']",0.05028696730732918
